Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating
Aankh Marey,"Kumar Sanu, Mika Singh, Neha Kakkar",BollywoodDance,Simmba,8.8/10
Coca Cola,"Neha Kakkar, Tony Kakkar",BollywoodDanceRomantic,Luka Chuppi,9.0/10
Apna Time Aayega,Ranveer Singh,BollywoodDance,Gully Boy,9.7/10
Mungda,"Jyotica Tangri, Shaan, Subhro Ganguly",BollywoodDance,Total Dhamaal,9.1/10
Tere Bin,"Asees Kaur, Rahat Fateh Ali Khan, Tanishk Bagchi",BollywoodRomantic,Simmba,9.2/10
Gali Gali,Neha Kakkar,BollywoodDance,KGF,9.1/10
Chamma Chamma,"Arun, Ikka, Neha Kakkar, Romy",BollywoodDance,Fraud Saiyaan,9.2/10
Mere Gully Mein,Ranveer Singh,BollywoodDance,Gully Boy,9.5/10
Kamariya,Darshan Raval,BollywoodDance,Mitron,9.2/10
Ek Ladki Ko Dekha Toh Aisa Laga,"Darshan Raval, Rochak Kohli",BollywoodRomantic,Ek Ladki Ko Dekha Toh Aisa Laga,9.6/10
Swag Se Swagat,"Neha Bhasin, Vishal Dadlani",BollywoodDance,Tiger Zinda Hai,8.8/10
Poster Lagwa Do,"Mika Singh, Sunanda Sharma",BollywoodDance,Luka Chuppi,8.4/10
Daaru Wargi,Guru Randhawa,BollywoodDance,Cheat India,9.1/10
Dilbar,"Dhvani Bhanushali, Ikka, Neha Kakkar",BollywoodDance,Satyameva Jayate,9.2/10
Proper Patola,"Aastha Gill, Badshah, Diljit Dosanjh",BollywoodDance,Namaste England,9.0/10
Doori,Ranveer Singh,BollywoodDance,Gully Boy,9.7/10
Dil Diyan Gallan,Atif Aslam,BollywoodRomantic,Tiger Zinda Hai,9.1/10
Husn Parcham,"Bhoomi Trivedi, Raja Kumari",BollywoodDance,Zero,9.0/10
Bom Diggy Diggy,"Jasmin Walia, Zack Knight",BollywoodDance,Sonu Ke Titu Ki Sweety,9.0/10
Issaqbaazi,"Divya Kumar, Sukhwinder Singh",BollywoodDance,Zero,9.1/10
Mere Naam Tu,Abhay Jodhpurkar,BollywoodRomantic,Zero,9.2/10
High Rated Gabru – Nawabzaade,Guru Randhawa,BollywoodDance,Nawabzaade,9.2/10
Dekhte Dekhte,Atif Aslam,BollywoodRomantic,Batti Gul Meter Chalu,9.5/10
Zingaat,"Ajay, Atul",BollywoodDance,Dhadak,8.6/10
Tareefan,Badshah,Bollywood,Veere Di Wedding,9.1/10
Mile Ho Tum (Reprise),"Neha Kakkar, Tony Kakkar",BollywoodRomantic,Fever,9.0/10
Dil Chori,"Ishers, Simar Kaur, Yo Yo Honey Singh",BollywoodDance,Sonu Ke Titu Ki Sweety,9.0/10
Tere Naal Nachna,"Badshah, Sunanda Sharma",BollywoodDance,Nawabzaade,9.2/10
Dil Meri Na Sune,Atif Aslam,BollywoodRomantic,Genius,9.5/10
